mesh,mode,geometry,radius_m,case_file,material_sha256,material_numeric_sha256,actual_node_radius_m,geometry_source
20,X,cylinder,0.3,G:\fg-meet-workbench\cases\curvature_fg\20x20\Thermal_CFFF_X_Vf0.6_R0.3m-20x20-10layer.txt,09a21c5b90fe4214d62e5bab28bcb27c626bf03f8ce50c56cc8e4c30c7d5c443,4f47be3d025dcb1176023b901efe0f1b76e2b19cb0b78b5a31ca42275b1ce0f2,0.3,flat_20x20_coordinate_transform
20,X,cylinder,0.2,G:\fg-meet-workbench\cases\curvature_fg\20x20\Thermal_CFFF_X_Vf0.6_R0.2m-20x20-10layer.txt,09a21c5b90fe4214d62e5bab28bcb27c626bf03f8ce50c56cc8e4c30c7d5c443,4f47be3d025dcb1176023b901efe0f1b76e2b19cb0b78b5a31ca42275b1ce0f2,0.19999999999999998,flat_20x20_coordinate_transform
30,U,cylinder,1.0,G:\fg-meet-workbench\cases\curvature_fg\30x30\Thermal_CFFF_U_Vf0.6_R1m-30x30-10layer.txt,962ec3813187decd1751312171bdc5e41b3d8a7b627fe89c93856cc405c1930d,26c64982819e30f36d9c4c24498cae8ffaf456c0f78e3e10986f6d5092f74fdc,1.0,Thermal_CFFFcylinder_0.6Vf_R1m-30x30-10layer.txt
30,X,cylinder,1.0,G:\fg-meet-workbench\cases\curvature_fg\30x30\Thermal_CFFF_X_Vf0.6_R1m-30x30-10layer.txt,09a21c5b90fe4214d62e5bab28bcb27c626bf03f8ce50c56cc8e4c30c7d5c443,4f47be3d025dcb1176023b901efe0f1b76e2b19cb0b78b5a31ca42275b1ce0f2,1.0,Thermal_CFFFcylinder_0.6Vf_R1m-30x30-10layer.txt
30,U,cylinder,0.4,G:\fg-meet-workbench\cases\curvature_fg\30x30\Thermal_CFFF_U_Vf0.6_R0.4m-30x30-10layer.txt,962ec3813187decd1751312171bdc5e41b3d8a7b627fe89c93856cc405c1930d,26c64982819e30f36d9c4c24498cae8ffaf456c0f78e3e10986f6d5092f74fdc,0.4,Thermal_CFFFcylinder_0.6Vf_R0.4m-30x30-10layer.txt
30,X,cylinder,0.4,G:\fg-meet-workbench\cases\curvature_fg\30x30\Thermal_CFFF_X_Vf0.6_R0.4m-30x30-10layer.txt,09a21c5b90fe4214d62e5bab28bcb27c626bf03f8ce50c56cc8e4c30c7d5c443,4f47be3d025dcb1176023b901efe0f1b76e2b19cb0b78b5a31ca42275b1ce0f2,0.4,Thermal_CFFFcylinder_0.6Vf_R0.4m-30x30-10layer.txt
30,U,cylinder,0.3,G:\fg-meet-workbench\cases\curvature_fg\30x30\Thermal_CFFF_U_Vf0.6_R0.3m-30x30-10layer.txt,962ec3813187decd1751312171bdc5e41b3d8a7b627fe89c93856cc405c1930d,26c64982819e30f36d9c4c24498cae8ffaf456c0f78e3e10986f6d5092f74fdc,0.3,Thermal_CFFFcylinder_0.6Vf_R0.3m-30x30-10layer.txt
30,X,cylinder,0.3,G:\fg-meet-workbench\cases\curvature_fg\30x30\Thermal_CFFF_X_Vf0.6_R0.3m-30x30-10layer.txt,09a21c5b90fe4214d62e5bab28bcb27c626bf03f8ce50c56cc8e4c30c7d5c443,4f47be3d025dcb1176023b901efe0f1b76e2b19cb0b78b5a31ca42275b1ce0f2,0.3,Thermal_CFFFcylinder_0.6Vf_R0.3m-30x30-10layer.txt
30,U,cylinder,0.2,G:\fg-meet-workbench\cases\curvature_fg\30x30\Thermal_CFFF_U_Vf0.6_R0.2m-30x30-10layer.txt,962ec3813187decd1751312171bdc5e41b3d8a7b627fe89c93856cc405c1930d,26c64982819e30f36d9c4c24498cae8ffaf456c0f78e3e10986f6d5092f74fdc,0.2,Thermal_CFFFcylinder_0.6Vf_R0.2m-30x30-10layer.txt
30,X,cylinder,0.2,G:\fg-meet-workbench\cases\curvature_fg\30x30\Thermal_CFFF_X_Vf0.6_R0.2m-30x30-10layer.txt,09a21c5b90fe4214d62e5bab28bcb27c626bf03f8ce50c56cc8e4c30c7d5c443,4f47be3d025dcb1176023b901efe0f1b76e2b19cb0b78b5a31ca42275b1ce0f2,0.2,Thermal_CFFFcylinder_0.6Vf_R0.2m-30x30-10layer.txt
