theta_over_span,theta_rad,x_m,y_m,z_m,radial_displacement_mm
0.0,0.0,0.15,-0.0,0.4,0.0
0.1,0.07499999999999998,0.15,-0.02997188290909693,0.398875527244883,-0.10872845002144105
0.2,0.14999999999999997,0.15,-0.05977525298943968,0.3955084311744169,-0.414824036391887
0.3,0.22499999999999995,0.15,-0.08924254485269817,0.38991764282757735,-0.8770225519703064
0.4,0.29999999999999993,0.15,-0.11820808266453581,0.38213459565024244,-1.4565990230879544
0.5,0.37499999999999994,0.15,-0.146509011634419,0.3722030487649257,-2.118727531431109
0.6,0.4499999999999999,0.15,-0.17398621364449207,0.36017884094107083,-2.832751896695231
0.7,0.5249999999999999,0.15,-0.20048520186951913,0.34612957664917654,-3.5722968538925826
0.8,0.5999999999999999,0.15,-0.22585698935801413,0.33013424596387136,-4.315482137521084
0.9,0.6749999999999999,0.15,-0.2499589266910799,0.3122827804529788,-5.0452238766238615
1.0,0.7499999999999999,0.15,-0.2726555037166581,0.2926755478221839,-5.749521700329982
